Week,Week_Start,Day,Group,Status,Pre,Main_Workout,Post,Miles,Groups,Notes
51,2026-05-11,Mon,Gold,JV,Foot Drills; Dynamics; Buildups,Off,Strides; Mobility/Strength A,5.0,,
51,2026-05-11,Mon,Gold,Varsity,Foot Drills; Dynamics; Buildups,workout,Strides; Mobility/Strength A,5.0,,
51,2026-05-11,Mon,Green,JV,Foot Drills; Dynamics; Buildups,Off,Strides; Mobility/Strength A,4.0,,
51,2026-05-11,Mon,Green,Varsity,Foot Drills; Dynamics; Buildups,workout,Strides; Mobility/Strength A,4.0,,
51,2026-05-11,Mon,White,JV,Foot Drills; Dynamics; Buildups,Off,Strides; Mobility/Strength A,3.5,,
51,2026-05-11,Mon,White,Varsity,Foot Drills; Dynamics; Buildups,workout,Strides; Mobility/Strength A,3.5,,
51,2026-05-11,Mon,Freshman,JV,Foot Drills; Dynamics; Buildups,Off,Strides; Mobility/Strength A,3.0,,
51,2026-05-11,Mon,Freshman,Varsity,Foot Drills; Dynamics; Buildups,workout,Strides; Mobility/Strength A,3.0,,
51,2026-05-11,Tue,Gold,JV,WU; Dynamics; stride progression,Off,Strides; Mobility/Strength A,5.0,,
51,2026-05-11,Tue,Gold,Varsity,WU; Dynamics; stride progression,4.5mi easy,Strides; Mobility/Strength A,4.5,,
51,2026-05-11,Tue,Green,JV,WU; Dynamics; stride progression,Off,Strides; Mobility/Strength A,4.0,,
51,2026-05-11,Tue,Green,Varsity,WU; Dynamics; stride progression,4mi easy,Strides; Mobility/Strength A,4.0,,
51,2026-05-11,Tue,White,JV,WU; Dynamics; stride progression,Off,Strides; Mobility/Strength A,3.5,,
51,2026-05-11,Tue,White,Varsity,WU; Dynamics; stride progression,3mi easy,Strides; Mobility/Strength A,3.0,,
51,2026-05-11,Tue,Freshman,JV,WU; Dynamics; stride progression,Off,Strides; Mobility/Strength A,3.0,,
51,2026-05-11,Tue,Freshman,Varsity,WU; Dynamics; stride progression,2.5mi easy,Strides; Mobility/Strength A,2.5,,
51,2026-05-11,Wed,Gold,JV,Awesomizer; Lunge Matrix,Off,Strides; Mobility A; 24s,5.0,,
51,2026-05-11,Wed,Gold,Varsity,Awesomizer; Lunge Matrix,workout,Strides; Mobility A; 24s,5.0,,
51,2026-05-11,Wed,Green,JV,Awesomizer; Lunge Matrix,Off,Strides; Mobility A; 24s,4.0,,
51,2026-05-11,Wed,Green,Varsity,Awesomizer; Lunge Matrix,workout,Strides; Mobility A; 24s,4.0,,
51,2026-05-11,Wed,White,JV,Awesomizer; Lunge Matrix,Off,Strides; Mobility A; 24s,3.5,,
51,2026-05-11,Wed,White,Varsity,Awesomizer; Lunge Matrix,workout,Strides; Mobility A; 24s,3.5,,
51,2026-05-11,Wed,Freshman,JV,Awesomizer; Lunge Matrix,Off,Strides; Mobility A; 24s,3.0,,
51,2026-05-11,Wed,Freshman,Varsity,Awesomizer; Lunge Matrix,workout,Strides; Mobility A; 24s,3.0,,
51,2026-05-11,Thu,Gold,JV,WU; Dynamics; stride progression,Off,Strides; Mobility/Strength A,5.0,,
51,2026-05-11,Thu,Gold,Varsity,WU; Dynamics; stride progression,4.5mi easy,Strides; Mobility/Strength A,4.5,,
51,2026-05-11,Thu,Green,JV,WU; Dynamics; stride progression,Off,Strides; Mobility/Strength A,4.0,,
51,2026-05-11,Thu,Green,Varsity,WU; Dynamics; stride progression,4mi easy,Strides; Mobility/Strength A,4.0,,
51,2026-05-11,Thu,White,JV,WU; Dynamics; stride progression,Off,Strides; Mobility/Strength A,3.5,,
51,2026-05-11,Thu,White,Varsity,WU; Dynamics; stride progression,3mi easy,Strides; Mobility/Strength A,3.0,,
51,2026-05-11,Thu,Freshman,JV,WU; Dynamics; stride progression,Off,Strides; Mobility/Strength A,3.0,,
51,2026-05-11,Thu,Freshman,Varsity,WU; Dynamics; stride progression,2.5mi easy,Strides; Mobility/Strength A,2.5,,
51,2026-05-11,Fri,Gold,JV,Awesomizer; Foot Drills; Lunge Matrix,Off,6xWickets; Post Race; 24s,5.0,,
51,2026-05-11,Fri,Gold,Varsity,Awesomizer; Foot Drills; Lunge Matrix,4.5mi easy,6xWickets; Post Race; 24s,4.5,,
51,2026-05-11,Fri,Green,JV,Awesomizer; Foot Drills; Lunge Matrix,Off,6xWickets; Post Race; 24s,4.0,,
51,2026-05-11,Fri,Green,Varsity,Awesomizer; Foot Drills; Lunge Matrix,4mi easy,6xWickets; Post Race; 24s,4.0,,
51,2026-05-11,Fri,White,JV,Awesomizer; Foot Drills; Lunge Matrix,Off,6xWickets; Post Race; 24s,3.5,,
51,2026-05-11,Fri,White,Varsity,Awesomizer; Foot Drills; Lunge Matrix,3mi easy,6xWickets; Post Race; 24s,3.0,,
51,2026-05-11,Fri,Freshman,JV,Awesomizer; Foot Drills; Lunge Matrix,Off,6xWickets; Post Race; 24s,3.0,,
51,2026-05-11,Fri,Freshman,Varsity,Awesomizer; Foot Drills; Lunge Matrix,2.5mi easy,6xWickets; Post Race; 24s,2.5,,
51,2026-05-11,Sat,Gold,JV,WU; Dynamics; stride progression,Off,Strides; Mobility/Strength A,5.0,,
51,2026-05-11,Sat,Gold,Varsity,Race Day WU,Race,Post Race,4.0,,
51,2026-05-11,Sat,Green,JV,WU; Dynamics; stride progression,Off,Strides; Mobility/Strength A,4.0,,
51,2026-05-11,Sat,Green,Varsity,Race Day WU,Race,Post Race,4.0,,
51,2026-05-11,Sat,White,JV,WU; Dynamics; stride progression,Off,Strides; Mobility/Strength A,3.5,,
51,2026-05-11,Sat,White,Varsity,Race Day WU,Race,Post Race,3.0,,
51,2026-05-11,Sat,Freshman,JV,WU; Dynamics; stride progression,Off,Strides; Mobility/Strength A,3.0,,
51,2026-05-11,Sat,Freshman,Varsity,Race Day WU,Race,Post Race,3.0,,
51,2026-05-11,Sun,Gold,JV,WU; Dynamics; stride progression,Off,Strides; Mobility/Strength A,5.0,,
51,2026-05-11,Sun,Gold,Varsity,Foot Drills; Mobility A/B,REST,Strength,0.0,,
51,2026-05-11,Sun,Green,JV,WU; Dynamics; stride progression,Off,Strides; Mobility/Strength A,4.0,,
51,2026-05-11,Sun,Green,Varsity,Foot Drills; Mobility A/B,REST,Strength,0.0,,
51,2026-05-11,Sun,White,JV,WU; Dynamics; stride progression,Off,Strides; Mobility/Strength A,3.5,,
51,2026-05-11,Sun,White,Varsity,Foot Drills; Mobility A/B,REST,Strength,0.0,,
51,2026-05-11,Sun,Freshman,JV,WU; Dynamics; stride progression,Off,Strides; Mobility/Strength A,3.0,,
51,2026-05-11,Sun,Freshman,Varsity,Foot Drills; Mobility A/B,REST,Strength,0.0,,
